title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
INSTITUTO PROFESIONAL DE BELLEZA Y COSMETOLOGIA ERIKA,, Calle Sucre N° 580 ,3348279,,,Otros tipos de enseñanza n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolcruz,, Av. Virgen de Cotoca/Jose M. Carrillo Nº 100 ,3477828,,,Computadoras y accesorios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Service Leo,, Av. Busch Nº 675 ,3330560,,,Talleres mecánicos de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA LA CASTAñA SRL,, Av. Busch N° 520 Edificio: Edificio Equanta Piso: 3 Oficina: 1 ,,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNOVA LETREROS - GIGANTOGRAFIAS,, Av. Mutualista Esquina Mapajo N° 2235 ,490000,,,Publicidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE JHAJERO,," Avenida 17 Y 1/2, Barrio Villa Vallegrande N° S/n ",3537585,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Som 3,, ,3600233,,,Grupos electrónicos,, musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLOS BARBA ROJA,, Av- 25 De Mayo N° S/n ,,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINGA TOURS,La forma segura de viajar, Av. Cañoto 307 Esq. Junin ,3397010,,www.gringatours-bolivia.com,Agencia de viajes,3397034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DE PASTAS ALIMENTICIAS DEL SUD S.A. INPASTAS S.A.,, Parque Industrial Pesado P.i. 18 B ,3462242,,,"Elaboración de pastas, macarrones y fideos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Precisión,, 4º Anillo Pi Entre Av. Paragua y Mutualista ,3467170,,,Maestranzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTITUTO LATINOAMERICANO DEL CONOCIMIENTO INLACON LTDA.,, Av. Las Gardenias N° 42 ,3273916,,,Otros tipos de enseñanza n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA LA AGUADA S.A.,, Av. San Martin Calle Las Violetas N° 1800 Edificio: Tacuaral Piso: 4 Oficina: 404 ,3428427,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franz,, Av. Roque Aguilea Nº 119 ,3551992,,,Talleres mecánicos de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMACBOL S.R.L.,, Av. Bush N° 281 Edificio: Rodrigo Piso: 3 Oficina: A ,3302783,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borquez Linea Uniforme SUCURSAL 2,, Av. Viedma esq. Ballivian Nº 156 ,3301918,,www.amarillas.bo/borquez,Confección de Uniformes,,Industria ropa uniforme,Linea gastronómica(uniforme),,,Linea hospitalaria(uniforme),,Uniformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flores,, Av. Banzer 3º Anillo Ext/Zoologico ,3421576,,,Maestranzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gutierrez,, Motoyoé Nº 2105 ,3423888,,,Talleres electromecánicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE INTERPROVINCIAL VELASCO TRANSICAL V S.R.L.,, Avenida Inter-radial Sector B-oficina 23-dept.transical V Edificio: Terminal Bimodal Piso: Pb Ofi ,,,,Otras actividades de transporte de pasajeros por vía terrestre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLOS A LA BRASA SACURA,, Av. Cristobal De Mendoza N° 292 ,3365097,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DE MUEBLES HURTADO LTDA.,, Parque Industrial Av. Perimetral N° S/n ,3461088,,,Fabricación de muebles y colchones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTITUTO INTEGRADO ASUNCION BERLIN,," Av.virgen De Lujan, Calle 5 N° 54 ",,,,Otros tipos de enseñanza n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
